타임스탬프,학년,성별,학과,취미,휴대폰 이용 시간대,휴대폰 이용 시간,휴대폰으로 주로 하는것,자기 전 1시간 휴대폰 이용,전자기기 제외 주로 뭐 하는지,학교 수업 외로 하루 공부 시간,주로 공부하는 시간,학과 선택 만족,전공 취업 선호도,소셜 미디어 사용 시간,집에서 학교까지 오는시간,학업 스트레스,교우관계,아르바이트,방과후 수업
2023. 10. 12 오후 3:46:14,1,여자,스마트웹콘텐츠과,기타,저녁에(17시~20시),7~9시간,정보검색,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),X,5,2시간-3시간 이상,10-30분,4,3,X,O
2023. 10. 12 오후 3:46:33,1,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),5~7시간,SNS,한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),O,10,2시간-3시간 이상,30-1시간,2,1,O,O
2023. 10. 12 오후 3:46:36,2,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,8,1시간-2시간,30-1시간,2,4,X,O
2023. 10. 12 오후 3:46:40,2,여자,소프트웨어개발과,영상시청,밤에(20시~24시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,10,2시간-3시간 이상,30-1시간,3,3,O,O
2023. 10. 12 오후 3:47:13,2,여자,소프트웨어개발과,영상시청,저녁에(17시~20시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,X,9,30-1시간,10-30분,3,2,O,O
2023. 10. 12 오후 3:47:32,2,남자,소프트웨어개발과,게임,저녁에(17시~20시),9시간 이상,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,X,2,0-30분,10-30분,3,1,X,O
2023. 10. 12 오후 3:47:55,2,남자,소프트웨어개발과,게임,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,O,10,30-1시간,30-1시간,1,1,X,O
2023. 10. 12 오후 3:47:58,2,남자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),O,5,30-1시간,30-1시간,1,1,X,O
2023. 10. 12 오후 3:48:12,2,남자,소프트웨어개발과,운동,저녁에(17시~20시),1~3시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,10,30-1시간,10-30분,2,2,X,O
2023. 10. 12 오후 3:48:28,1,남자,소프트웨어개발과,영상시청,새벽에(00시~6시),1~3시간,웹툰,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,X,0,30-1시간,10-30분,3,3,X,X
